Study type,Data set,Chosen layouts,Chosen binwidth (a1),The best layout(s) is provided by the app,Chosen the same layout(s) suggested by the app,The best layout(s) is provided by the participant,Reason,Experience with PCA,Experience with NLDR,Subject area,Comments to improve the app
1,mouse,"tSNE (perplexity = 18), tSNE (perplexity = 30), UMAP (n_neighbors = 15, min_dist = 0.1), UMAP (n_neighbors = 47, min_dist = 0.84), UMAP (n_neighbors = 5, min_dist = 0.08)",0.15,tSNE (perplexity = 18),YES,tSNE (perplexity = 18),"Number of clusters in the layout matches in the high-dimensional visuals, as well as the distance",YES,NO,Econometrics,"Initially, all upload tiles are in one column, with ""Add more layout"" and ""Ready to Analyze?"" in a separate column, which is confusing. Additionally, the numbering of steps is inconsistent: in the default-layout group, there was no ""step 3"", which is confusing. When the  NLDR layouts are uploaded, the titles' showing method and hyper-parameters are being cut off."
1,mouse,"tSNE (perplexity = 18), tSNE (perplexity = 30), UMAP (n_neighbors = 15, min_dist = 0.1)",0.06,tSNE (perplexity = 30),YES,tSNE (perplexity = 30),"The data is quite sparse in tour and the main cluster is very densed in high-dimensions. So, it should be densed in 2-D. This is better than UMAP because the smaller clusters are diffuse but not really separated from the big one.",YES,YES,Statistics,Suggest adding a 2-D wireframe step and adding navigation to the Model Diagnostics tab at the end of the Compare NLDR Layouts tab.
2,pdfsense,"tSNE (perplexity = 18), UMAP (n_neighbors = 11, min_dist = 0.76)",0.02,tSNE (perplexity = 18),YES,tSNE (perplexity = 18),It has the smallest HBE and clusters in the 2-D plot seen to match with clusters in the tour plot.,YES,YES,Statistics,Update the data
1,mouse,"tSNE (perplexity = 42), tSNE (perplexity = 30), UMAP (n_neighbors = 15, min_dist = 0.1), UMAP (n_neighbors = 45, min_dist = 0.55)",0.19,"UMAP (n_neighbors = 45, min_dist = 0.55)",YES,"UMAP (n_neighbors = 45, min_dist = 0.55)",Because of the number of clusters.,YES,YES,Statistics,
1,pdfsense,"tSNE (perplexity = 10), tSNE (perplexity = 25), UMAP (n_neighbors = 11, min_dist = 0.49), UMAP (n_neighbors = 46, min_dist = 0.1)",0.02,tSNE (perplexity = 10),YES,tSNE (perplexity = 10),The other layouts seem to have spurious and disorting artifacts.,YES,NO,Statistics and statistical genomics,
1,mouse,"tSNE (perplexity = 20), tSNE (perplexity = 30), UMAP (n_neighbors = 15, min_dist = 0.7), UMAP (n_neighbors = 20, min_dist = 0.09)",0.22,"UMAP (n_neighbors = 15, min_dist = 0.7)",YES,"UMAP (n_neighbors = 15, min_dist = 0.7)",It separated the clusters really well and easier to see. That's why I chose this layout.,YES,NO,Statistics,
2,pdfsense,"tSNE (perplexity = 26), tSNE (perplexity = 52), UMAP (n_neighbors = 15, min_dist = 0.7), UMAP (n_neighbors = 45, min_dist = 0.55)",0.02,tSNE (perplexity = 26),YES,tSNE (perplexity = 26),NA,YES,YES,Statistics,
2,pdfsense,"tSNE (perplexity = 52), UMAP (n_neighbors = 12, min_dist = 0.2), UMAP (n_neighbors = 13, min_dist = 0.2), UMAP (n_neighbors = 15, min_dist = 0.1)",0.12,tSNE (perplexity = 52),YES,tSNE (perplexity = 52),Because there was good clusters sepation of a few wavy clusters,YES,YES,Statistics,"The binwidth parameter can be challenging to understand, as its influence on the results is not immediately clear."
2,pdfsense,"tSNE (perplexity = 10), tSNE (perplexity = 30), tSNE (perplexity = 45)",0.04,tSNE (perplexity = 45),NO,tSNE (perplexity = 10),Looks more interesting.,NO,NO,Statistics,"The binwidth parameter can be challenging to understand, as its influence on the results is not immediately clear."
1,pdfsense,"tSNE (perplexity = 18), tSNE (perplexity = 30), tSNE (perplexity = 40), UMAP (n_neighbors = 10, min_dist = 0.1), UMAP (n_neighbors = 45, min_dist = 0.2), UMAP (n_neighbors = 30, min_dist = 0.5), UMAP (n_neighbors = 30, min_dist = 0.2)",0.15,tSNE (perplexity = 18),YES,tSNE (perplexity = 18),"So RMSE for selected models was similar except for UMAP (n_neighbors = 30, min_dist = 0.2). Not that one suggested round shape isn't meaningful. This also suggested round structure in UMAP (n_neighbors = 30, min_dist = 0.5) isn't real. So, tSNE (perplexity = 18) has smallest RMSE.",NO,NO,Statistics,
2,mouse,"tSNE (perplexity = 27), tSNE (perplexity = 50), tSNE (perplexity = 5), UMAP (n_neighbors = 15, min_dist = 0.1), UMAP (n_neighbors = 43, min_dist = 0.5)",0.09,tSNE (perplexity = 27),YES,tSNE (perplexity = 27),The interactive 3-D plot shows a layout that aligns with the 2-D representation.,YES,NO,Statistics,
1,mouse,"tSNE (perplexity = 7), tSNE (perplexity = 18), tSNE (perplexity = 30), tSNE (perplexity = 42), UMAP (n_neighbors = 11, min_dist = 0.76), UMAP (n_neighbors = 15, min_dist = 0.1), UMAP (n_neighbors = 28, min_dist = 0.3), UMAP (n_neighbors = 45, min_dist = 0.55)",0.04,tSNE (perplexity = 7),NO,tSNE (perplexity = 30),This layout better represents the clusters visisble in high-dimensioanl data.,YES,NO,Statistics,I don't understand how the 2-D layout relates to the high-dimensional model.
2,mouse,"tSNE (perplexity = 5), tSNE (perplexity = 52), UMAP (n_neighbors = 30, min_dist = 0.1), UMAP (n_neighbors = 50, min_dist = 0.1)",0.1,tSNE (perplexity = 30),NO,"UMAP (n_neighbors = 30, min_dist = 0.1)",Patters are observed in 2-D plo and can be verfied in 9-D plot.,YES,NO,Statistics,
